"Name","Rarity","Category","Level","Price"
"Alchemical Bomb","Common","Weapons","0","0"
"Fist","Common","Weapons","0","0"
"Holly and Mistletoe","Common","Adventuring Gear","0","0"
"Puzzle Box (Hollow)","Common","Adventuring Gear","0","0 (see text)"
"Shield Bash","Common","Weapons","0","0"
"Thresholds of Truth","Unique","Other","0","0"
"Unarmored","Common","Armor","0","0"
"Club","Common","Weapons","0","0"
"Exquisite Sword Cane Sheath","Common","Weapons","0","0"
"Sling","Common","Weapons","0","0"
"Staff","Common","Weapons","0","0"
"Alcohol","Common","Alchemical Items","0","1 cp (or more)"
"Black Powder (Dose or Round)","Uncommon","Alchemical Items","0","1 cp"
"Candle","Common","Adventuring Gear","0","1 cp"
"Chalk","Common","Adventuring Gear","0","1 cp ((10 pieces))"
"Clay","Common","Adventuring Gear","0","1 cp"
"Dart","Common","Weapons","0","1 cp"
"Feed (Standard)","Common","Animals and Gear","0","1 cp (1 week)"
"Fish","Common","Animals and Gear","0","1 cp"
"Mouse","Common","Animals and Gear","0","1 cp"
"Mug","Common","Adventuring Gear","0","1 cp"
"Oil","Common","Adventuring Gear","0","1 cp"
"Pinwheel","Common","Adventuring Gear","0","1 cp"
"Piton","Common","Adventuring Gear","0","1 cp"
"Sack","Common","Adventuring Gear","0","1 cp"
"Shuriken","Uncommon","Weapons","0","1 cp"
"Sling Bullets","Common","Weapons","0","1 cp"
"Ten-Foot Pole","Common","Adventuring Gear","0","1 cp"
"Torch","Common","Adventuring Gear","0","1 cp"
"Treats (Standard)","Common","Animals and Gear","0","1 cp"
"Bedroll","Common","Adventuring Gear","0","2 cp"
"Soap","Common","Adventuring Gear","0","2 cp"
"Ball","Common","Adventuring Gear","0","3 cp"
"Cat","Common","Animals and Gear","0","3 cp"
"Ladder (10 ft.)","Common","Adventuring Gear","0","3 cp"
"Kite","Common","Adventuring Gear","0","4 cp"
"Bandalore","Common","Adventuring Gear","0","5 cp"
"Blowgun Darts","Common","Weapons","0","5 cp"
"Flint and Steel","Common","Adventuring Gear","0","5 cp"
"Mask (Ordinary)","Common","Adventuring Gear","0","5 cp"
"Waterskin","Common","Adventuring Gear","0","5 cp"
"Signal Whistle","Common","Adventuring Gear","0","8 cp"
"Air Bladder","Common","Adventuring Gear","0","1 sp"
"Animal Bed","Common","Animals and Gear","0","1 sp"
"Arrows","Common","Weapons","0","1 sp"
"Backpack","Common","Adventuring Gear","0","1 sp"
"Backpack Ballista Bolts","Uncommon","Weapons","0","1 sp"
"Backpack Catapult Stones","Uncommon","Weapons","0","1 sp"
"Basic Crafter's Book","Common","Adventuring Gear","0","1 sp"
"Bird","Common","Animals and Gear","0","1 sp"
"Blocks","Common","Adventuring Gear","0","1 sp"
"Blowgun","Common","Weapons","0","1 sp"
